,,,,,,,,,,,
#EJECUCIÓN GASTOS- EJERCICIO 2013,,,,,,,,,,,
,,,,,,,,,,,
#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,160,22740,Servicios Generales Mantenimiento aire acondicionado,Servicios Generales Mantenimiento aire acondicionado,,160,2,51300,3228.5,54528.5,51893.47
,,,,,,,,,,,
,162,22502,"Recogida, eliminación y tratamiento de residuos..Tasa por la eliminación de RSU","Recogida, eliminación y tratamiento de residuos..Tasa por la eliminación de RSU",,162,2,114000,0,114000,100965.6
,,,,,,,,,,,
,162,22723,"Recogida, eliminación y tratamiento de residuos. Limpieza alcantarillado","Recogida, eliminación y tratamiento de residuos. Limpieza alcantarillado",,162,2,2000,0,2000,1397.55
,,,,,,,,,,,
,162,22727,"Recogida, eliminación y tratamiento de residuos. Recogida de residuos","Recogida, eliminación y tratamiento de residuos. Recogida de residuos",,162,2,1343970.97,387798.16,1731769.13,1724149.84
,,,,,,,,,,,
,163,22725,Limpieza viaria. Desinfección desratización,Limpieza viaria. Desinfección desratización,,163,2,9000,0,9000,0
,,,,,,,,,,,
,163,22726,Limpieza viaria. Limpieza Viaria,Limpieza viaria. Limpieza Viaria,,163,2,1687148.97,453528.33,2140677.3,1843792.17
,,,,,,,,,,,
,171,21100,Parques y jardines. Mantenimiento de jardines por Ayto.,Parques y jardines. Mantenimiento de jardines por Ayto.,,171,2,2398067.33,3004.15,2401071.48,2215032.47
,,,,,,,,,,,
,171,21101,Parques y jardines. Mantennimiento jardines (encomienda Emuvisa),Parques y jardines. Mantennimiento jardines (encomienda Emuvisa),,171,2,414594.4,0,414594.4,373087.37
,,,,,,,,,,,
,171,21608,Parques y jardines..Gestión de Incidencias en el Equipamiento Urbano,Parques y jardines..Gestión de Incidencias en el Equipamiento Urbano,,171,2,3500,0,3500,3484.8
,,,,,,,,,,,
,171,60904,Parques y jardines..Ajardinamiento Avda. de europa y C/ Alicante,Parques y jardines..Ajardinamiento Avda. de europa y C/ Alicante,,171,609,0,295029.06,295029.06,295029.06
,,,,,,,,,,,
,171,61111,Parques y jardines. Acondicionamiento de parterres,Parques y jardines. Acondicionamiento de parterres,,171,6,128000,0,128000,0
,,,,,,,,,,,
,171,62501,Parques y jardines. Mobiliario urbano,Parques y jardines. Mobiliario urbano,,171,6,10000,0,10000,9978.64
,,,,,,,,,,,
